Nombre, Annee
2,1972
3,1972
4,1972
3,1972
5,1972
3,1972
4,1972
2,1972
4,1972
3,1972
2,1972
2,1972
5,1972
5,1972
5,1972
4,1972
3,1972
2,1972
3,1972
4,1972
4,1972
4,1972
5,1972
5,1972
2,1972
3,1972
2,1972
2,1972
2,1972
2,1972
4,1972
5,1972
5,1972
4,1972
5,1972
5,1972
3,1972
3,1972
0,1972
3,1972
4,1972
2,1972
2,1972
3,1972
4,1972
2,1972
3,1972
4,1972
5,1972
5,1972
3,1972
5,1972
4,1972
3,1972
3,1972
3,1972
2,1972
4,1972
2,1972
3,1972
4,1972
2,1972
2,1972
4,1972
4,1972
5,1972
3,1972
2,1972
5,1972
5,1972
5,1972
2,1972
5,1972
5,1972
5,1972
2,1972
3,1972
3,1972
4,1972
3,1972
3,1972
4,1972
4,1972
3,1972
4,1972
3,1972
3,1972
3,1972
4,1972
1,1972
3,1972
4,1972
4,1972
4,1972
4,1972
3,1972
4,1972
3,1972
4,1972
3,1972
4,1972
4,1972
3,1972
3,1972
4,1972
4,1972
4,1972
4,1972
3,1972
3,1972
3,1972
3,1972
4,1972
4,1972
3,1972
2,1972
3,1972
3,1972
1,1972
3,1972
2,1972
2,1972
3,1972
3,1972
2,1972
2,1972
2,1972
3,1972
2,1972
2,1972
3,1972
3,1972
3,1972
1,1972
4,1972
4,1972
4,1972
3,1972
4,1972
4,1972
4,1972
3,1972
3,1972
3,1972
