Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
"P4,""4"",""00"",""82,78"",""1983"",""123"""
"P4,""4"",""00"",""82,78"",""1983"",""107"""
"P4,""4"",""00"",""82,78"",""1983"",""107"""
"P4,""4"",""00"",""82,78"",""1983"",""123"""
"P4,""4"",""00"",""90,34"",,"
"P4,""4"",""00"",""91,31"",,"
"P3,""3"",""00"",""79,75"",,"
"P3,""3"",""00"",""79,75"",,"
"P4,""4"",""00"",""91,31"",,"
"P4,""4"",""00"",""93,78"",,"
"P4,""4"",""00"",""90,97"",,"
"P3,""3"",""00"",""78,71"",,"
"P4,""4"",""00"",""91,34"",,"
"P5,""5"",""00"",""107,73"",,"
"P3,""3"",""00"",""79,23"",,"
"P5,""5"",""00"",""107,73"",,"
"P4,""4"",""00"",""91,06"",,"
"P4,""4"",""00"",""91,61"",,"
"P4,""4"",""00"",""97,41"",,"
"P5,""5"",""00"",""106,29"",,"
"P4,""4"",""00"",""91,83"",,"
"P5,""5"",""00"",""106,29"",,"
"P5,""5"",""00"",""107,73"",,"
"P3,""3"",""00"",""79,75"",,"
"LO,""0"",""00"",,,"
"DI,""0"",""00"",,,"
"T4,""4"",""01"",""114,5"",,"
"DI,""0"",""00"",,,"
"T2,""2"",""03"",""38"",""1960"",""165"""
"T3,""3"",""04"",""50"",""1960"",""165"""
"T3,""3"",""02"",""50"",""1960"",""165"""
"T2,""2"",""01"",""38"",""1960"",""165"""
"T1,""1"",""00"",""29"",""1960"",""165"""
"T2,""2"",""04"",""38"",""1960"",""165"""
