ref,lat,lng,statut
17302,49.50246130,0.17967590,
17322,49.50246940,0.18009070,1
8189,49.50255360,0.20454190,
8293,49.50257070,0.20329610,
8025,49.50260690,0.20573090,
8339,49.50261350,0.20251730,
8207,49.50263390,0.20709260,
8064,49.50267000,0.20706990,
17266,49.50269750,0.18104890,
8147,49.50269760,0.20582640,
17242,49.50270130,0.18055190,
17276,49.50271160,0.18120280,
17256,49.50271780,0.18070880,1
8323,49.50275020,0.20254700,
8093,49.50275590,0.20334430,1
8149,49.50279160,0.20581140,
8336,49.50282440,0.20204920,1
8261,49.50282490,0.20457550,
8110,49.50287970,0.20695900,
8289,49.50288280,0.20449100,
8008,49.50288480,0.20712160,
8016,49.50292500,0.20335030,
8249,49.50295930,0.20322160,
8148,49.50296920,0.20586090,
8306,49.50298270,0.20577250,
18236,49.50308450,0.17624540,
18408,49.50308780,0.18009190,
18392,49.50309230,0.17989380,
18158,49.50309270,0.17622180,
8018,49.50309270,0.20338300,
8014,49.50309620,0.20460910,
18376,49.50309670,0.17969560,1
18353,49.50310410,0.17949490,1
18220,49.50310520,0.18009290,1
8065,49.50313580,0.20715060,1
18155,49.50316350,0.17898410,
8252,49.50316420,0.20579410,
8184,49.50316480,0.20835710,
8264,49.50322490,0.20337130,
8150,49.50324080,0.20589540,
8015,49.50325980,0.20460250,
18206,49.50328460,0.17912670,1
18249,49.50329760,0.17645440,
18192,49.50331180,0.17806680,
18178,49.50331410,0.17802710,
8120,49.50331430,0.20775740,
18140,49.50331900,0.17723300,
18152,49.50331950,0.17683610,
8250,49.50332500,0.23309000,1
8277,49.50336740,0.20464270,
8112,49.50338670,0.20717960,
8271,49.50338800,0.20715280,
8119,49.50338810,0.20716720,
8012,49.50338890,0.20715900,
8020,49.50342940,0.20342170,
8118,49.50344210,0.20659810,
8071,49.50344340,0.20658530,
8026,49.50351160,0.20593930,
8259,49.50351320,0.20593170,
8117,49.50351520,0.20591240,
8011,49.50354920,0.20515580,
8087,49.50361120,0.20446670,
8010,49.50364030,0.20467490,
